step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFlaggedFraud,fraud_probability,actual_fraud
331,TRANSFER,274184.08,55219.0,0.0,630478.55,904662.63,0,1.0,0
354,CASH_OUT,270390.32,51907.0,0.0,653426.82,923817.14,0,1.0,0
401,CASH_OUT,255970.82,52738.0,0.0,646890.35,902861.18,0,1.0,0
402,CASH_OUT,269841.23,53031.0,0.0,644628.36,914469.59,0,1.0,0
688,CASH_OUT,466018.87,183.0,0.0,1148766.87,1614785.74,0,1.0,0
371,CASH_OUT,96693.99,320132.0,223438.01,401748.18,498442.17,0,0.9999999999999838,0
402,CASH_OUT,183538.03,254537.0,70998.97,435866.3,619404.33,0,0.9946352325450779,0
399,CASH_OUT,97129.58,228625.19,131495.6,579687.26,676816.84,0,0.976847406841115,0
348,CASH_OUT,182555.97,217133.9,34577.93,444652.52,627208.5,0,0.9719194177585874,0
379,CASH_OUT,97067.0,205672.22,108605.21,522794.75,619861.75,0,0.9480328714945456,0
